iter	RMSE
0	14.65478576
1	14.28194565
2	13.90409799
3	13.53290873
4	13.18633504
5	12.90624447
6	12.60482244
7	12.30907417
8	12.0355866
9	11.74861404
10	11.46592601
11	11.19671901
12	10.93773833
13	10.68872108
14	10.46675631
15	10.24286704
16	10.02682921
17	9.8224055
18	9.617337991
19	9.423146054
20	9.251182472
21	9.080122687
22	8.908876452
23	8.746505631
24	8.603523932
25	8.464358544
26	8.326366572
27	8.195466118
28	8.068554554
29	7.947684885
30	7.834105866
31	7.722295245
32	7.619082521
33	7.516621956
34	7.41878024
35	7.335794684
36	7.257744095
37	7.17901849
38	7.094548029
39	7.024994046
40	6.95235447
41	6.883526072
42	6.81444515
43	6.761086941
44	6.705825868
45	6.646603074
46	6.590077053
47	6.539335177
48	6.492281276
49	6.442002728
50	6.402749762
51	6.36056965
52	6.324915267
53	6.285784718
54	6.248192275
55	6.208657381
56	6.171671662
57	6.145266444
58	6.120166661
59	6.090191813
60	6.058164525
61	6.038075582
62	6.0094668
63	5.978326644
64	5.952599371
65	5.928369341
66	5.904334744
67	5.880109155
68	5.855942095
69	5.836705086
70	5.820168075
71	5.804433594
72	5.788108378
73	5.770411216
74	5.757101908
75	5.74233985
76	5.72891888
77	5.711131856
78	5.70015189
79	5.684232615
80	5.670142475
81	5.657395105
82	5.644713704
83	5.631035975
84	5.620574967
85	5.606854422
86	5.595950983
87	5.58740673
88	5.578802088
89	5.570116443
90	5.561841827
91	5.552680598
92	5.545275686
93	5.537135489
94	5.531988077
95	5.522103629
96	5.512784052
97	5.506169396
98	5.499757563
99	5.49331727
100	5.486484189
101	5.480695278
102	5.474650622
103	5.469897429
104	5.467548728
105	5.461306472
106	5.456081435
107	5.448906405
108	5.443133885
109	5.437733831
110	5.432131583
111	5.428144811
112	5.42314775
113	5.418556929
114	5.413894278
115	5.411010056
116	5.409105637
117	5.403958052
118	5.399932677
119	5.397238142
120	5.394656422
121	5.390097655
122	5.386116415
123	5.378944457
124	5.376112004
125	5.372158513
126	5.368079668
127	5.364982134
128	5.362899982
129	5.358703675
130	5.355567486
131	5.351145968
132	5.348989093
133	5.344994396
134	5.340467021
135	5.336062907
136	5.333446653
137	5.329788053
138	5.323804039
139	5.318095003
140	5.314536739
141	5.312995748
142	5.310641039
143	5.308439161
144	5.304765909
145	5.302235838
146	5.301278585
147	5.298278432
148	5.295182545
149	5.293826451
150	5.290104783
151	5.28680176
152	5.285869619
153	5.283121381
154	5.281703527
155	5.278340283
156	5.274683581
157	5.27078069
158	5.268605824
159	5.263149613
160	5.260779817
