iter	Passed	Remaining
0	0	383
1	0	387
2	1	382
3	1	381
4	1	380
5	2	376
6	2	374
7	3	376
8	3	375
9	3	372
10	4	371
11	4	371
12	4	370
13	5	370
14	5	370
15	6	370
16	6	369
17	6	364
18	7	364
19	7	363
20	7	364
21	8	364
22	8	364
23	8	363
24	9	362
25	9	358
26	9	358
27	10	358
28	10	358
29	11	358
30	11	357
31	11	357
32	12	357
33	12	356
34	12	356
35	13	356
36	13	353
37	13	353
38	14	353
39	14	354
40	15	354
41	15	353
42	15	353
43	16	353
44	16	352
45	16	352
46	17	351
47	17	353
48	18	355
49	18	355
50	19	354
51	19	354
52	19	353
53	20	353
54	20	352
55	21	369
56	22	369
57	22	370
58	23	372
59	23	372
60	24	371
61	24	374
62	25	377
63	25	379
64	26	382
65	27	384
66	27	384
67	28	384
68	28	384
69	28	383
70	29	382
71	29	381
72	29	380
73	30	379
74	30	378
75	30	376
76	31	375
77	31	374
78	32	373
79	32	372
80	32	371
81	33	370
82	33	369
83	33	368
84	34	368
85	34	367
86	34	366
87	35	365
88	35	366
89	36	369
90	37	370
91	37	371
92	37	370
93	38	369
94	38	368
95	39	367
96	39	367
97	39	366
98	40	365
99	40	364
100	41	366
101	41	365
102	42	366
103	42	369
104	43	373
105	44	373
106	48	402
107	48	402
108	49	402
109	49	402
110	50	401
111	50	400
112	50	399
113	51	398
114	51	397
115	52	396
116	52	394
117	52	393
118	53	393
119	53	395
120	54	394
121	54	393
122	55	392
123	55	392
124	56	392
125	56	392
126	56	391
127	57	390
128	57	389
129	58	388
130	58	388
131	58	387
132	59	386
133	59	385
134	59	384
135	60	383
136	60	382
137	61	381
138	61	380
139	61	379
140	62	378
141	62	377
142	62	376
143	63	375
144	63	375
145	63	374
146	64	372
147	64	371
148	64	370
149	65	369
150	65	368
151	65	367
152	66	366
153	66	365
154	66	364
155	67	363
156	67	362
157	67	362
158	68	361
159	68	360
160	69	359
161	69	359
162	69	358
163	70	357
164	70	356
165	70	355
166	71	354
167	71	353
168	71	352
169	72	352
170	72	351
171	72	350
172	73	350
173	73	349
174	73	348
175	74	348
176	74	347
177	75	347
178	75	346
179	75	345
180	76	344
181	76	344
182	76	343
183	77	342
184	77	342
185	78	341
186	78	340
187	78	339
188	79	339
189	79	338
190	79	337
191	80	337
192	80	336
193	80	335
194	81	336
195	81	336
196	82	335
197	82	335
198	83	334
199	83	334
200	83	333
201	84	333
202	84	332
203	85	332
204	85	331
205	85	330
206	86	331
207	87	331
208	87	330
209	87	330
210	88	331
211	89	331
212	89	330
213	89	330
214	90	330
215	90	330
216	91	329
217	91	329
218	92	328
219	92	327
220	93	328
221	93	328
222	94	327
223	94	327
224	94	326
225	95	325
226	95	325
227	95	324
228	96	324
229	96	323
230	96	322
231	97	322
232	97	321
233	98	321
234	98	320
235	98	319
236	99	319
237	99	318
238	99	317
239	100	317
240	100	317
241	101	317
242	101	317
243	102	316
244	102	316
245	103	315
246	103	315
247	103	314
248	104	313
249	104	313
250	104	312
251	105	312
252	105	311
253	105	311
254	106	310
255	106	310
256	107	309
257	107	309
258	107	308
259	108	308
260	108	307
261	108	306
262	109	306
263	109	305
264	110	305
265	110	304
266	110	304
267	111	303
268	111	303
269	111	302
270	112	302
271	112	301
272	113	300
273	113	300
274	113	299
275	114	299
276	114	298
277	114	298
278	115	297
279	115	297
280	115	296
281	116	296
282	116	295
283	117	296
284	117	295
285	118	295
286	118	294
287	119	294
288	119	294
289	119	293
290	120	293
291	120	292
292	121	292
293	121	292
294	122	292
295	122	291
296	123	291
297	123	291
298	124	290
299	124	290
300	124	289
301	125	289
302	125	288
303	125	288
304	126	287
305	126	287
306	126	286
307	127	285
308	127	285
309	128	284
310	128	284
311	129	285
312	129	284
313	130	284
314	130	284
315	131	284
316	131	283
317	132	283
318	132	283
319	132	282
320	133	282
321	134	283
322	135	283
323	135	282
324	135	282
325	136	281
326	136	281
327	137	280
328	137	280
329	137	279
330	138	279
331	138	279
332	139	278
333	139	278
334	139	277
335	140	277
336	140	276
337	140	275
338	141	275
339	141	274
340	141	274
341	142	273
342	142	273
343	143	272
344	143	272
345	144	272
346	144	272
347	144	271
348	145	271
349	145	270
350	146	270
351	146	269
352	146	269
353	147	268
354	147	268
355	148	267
356	148	267
357	148	266
358	149	266
359	149	265
360	149	265
361	150	264
362	150	264
363	150	263
364	151	263
365	151	262
366	152	262
367	152	261
368	152	261
369	153	260
370	153	260
371	153	259
372	154	259
373	154	259
374	155	259
375	155	258
376	156	258
377	156	257
378	157	257
379	157	257
380	157	256
381	158	256
382	158	255
383	159	255
384	159	254
385	159	254
386	160	253
387	160	253
388	160	252
389	161	252
390	161	251
391	162	251
392	162	251
393	163	251
394	163	250
395	164	250
396	164	249
397	164	249
398	165	249
399	165	248
400	166	248
401	166	247
402	167	247
403	167	247
404	167	246
405	168	246
406	168	246
407	169	245
408	170	246
409	171	246
410	172	246
411	172	246
412	173	246
413	173	246
414	174	245
415	174	245
416	175	244
417	175	244
418	175	243
419	176	243
420	176	242
421	176	242
422	177	241
423	177	241
424	178	240
425	178	240
426	178	240
427	179	239
428	179	239
429	180	238
430	180	238
431	181	238
432	181	237
433	181	237
434	182	236
435	182	236
436	183	235
437	183	235
438	183	234
439	184	234
440	184	233
441	184	233
442	185	232
443	185	232
444	186	232
445	186	232
446	187	231
447	187	231
448	188	230
449	188	230
450	188	229
451	189	229
452	189	228
453	189	228
454	190	227
455	190	227
456	191	227
457	191	226
458	192	226
459	192	225
460	192	225
461	193	224
462	193	224
463	193	224
464	194	223
465	194	223
466	195	222
467	195	222
468	195	221
469	196	221
470	196	220
471	196	220
472	197	220
473	197	219
474	198	219
475	198	218
476	199	218
477	199	218
478	200	217
479	200	217
480	201	217
481	201	216
482	202	216
483	202	216
484	203	215
485	203	215
486	204	215
487	204	214
488	205	214
489	205	214
490	206	213
491	206	213
492	207	213
493	207	212
494	208	212
495	208	211
496	208	211
497	209	211
498	209	210
499	210	210
500	210	209
501	211	209
502	211	209
503	212	208
504	212	208
505	213	208
506	213	207
507	214	207
508	214	206
509	215	206
510	215	206
511	215	205
512	216	205
513	216	204
514	217	204
515	217	203
516	217	203
517	218	203
518	218	202
519	218	202
520	219	201
521	219	201
522	219	200
523	220	200
524	220	199
525	221	199
526	221	198
527	221	198
528	222	197
529	222	197
530	223	197
531	223	196
532	224	196
533	224	196
534	225	195
535	225	195
536	225	194
537	226	194
538	226	193
539	226	193
540	227	192
541	227	192
542	228	191
543	228	191
544	228	191
545	229	190
546	229	190
547	230	190
548	230	189
549	231	189
550	231	188
551	232	188
552	232	188
553	233	187
554	233	187
555	234	187
556	234	186
557	234	186
558	235	185
559	235	185
560	236	184
561	236	184
562	236	183
563	237	183
564	237	182
565	237	182
566	238	182
567	238	181
568	239	181
569	239	180
570	239	180
571	240	179
572	240	179
573	241	178
574	241	178
575	242	178
576	242	177
577	242	177
578	243	176
579	243	176
580	243	175
581	244	175
582	244	175
583	245	174
584	245	174
585	245	173
586	246	173
587	246	172
588	246	172
589	247	171
590	247	171
591	248	170
592	249	171
593	249	170
594	250	170
595	250	170
596	251	169
597	251	169
598	252	168
599	252	168
600	252	167
601	253	167
602	253	166
603	253	166
604	254	166
605	254	165
606	255	165
607	255	164
608	256	164
609	256	164
610	257	163
611	257	163
612	257	162
613	258	162
614	258	161
615	258	161
616	259	160
617	259	160
618	260	160
619	260	159
620	260	159
621	261	158
622	261	158
623	262	157
624	262	157
625	262	157
626	263	156
627	263	156
628	264	155
629	264	155
630	265	155
631	265	154
632	266	154
633	266	154
634	267	153
635	270	154
636	270	154
637	270	153
638	271	153
639	271	152
640	272	152
641	272	151
642	272	151
643	273	151
644	273	150
645	274	150
646	274	149
647	274	149
648	275	148
649	275	148
650	275	147
651	276	147
652	277	147
653	277	146
654	277	146
655	278	145
656	278	145
657	279	145
658	279	144
659	279	144
660	280	143
661	280	143
662	280	142
663	281	142
664	282	142
665	282	141
666	282	141
667	283	140
668	283	140
669	284	139
670	284	139
671	284	139
672	285	138
673	285	138
674	286	137
675	286	137
676	286	136
677	287	136
678	287	136
679	288	135
680	288	135
681	288	134
682	289	134
683	289	133
684	290	133
685	290	132
686	290	132
687	291	132
688	291	131
689	292	131
690	292	130
691	292	130
692	293	129
693	293	129
694	294	129
695	294	128
696	295	128
697	295	127
698	296	127
699	296	127
700	296	126
701	297	126
702	297	125
703	297	125
704	298	124
705	298	124
706	298	123
707	299	123
708	299	122
709	300	122
710	300	122
711	300	121
712	301	121
713	301	120
714	301	120
715	302	119
716	302	119
717	303	119
718	303	118
719	303	118
720	304	117
721	304	117
722	304	116
723	305	116
724	305	115
725	305	115
726	306	115
727	306	114
728	306	114
729	307	113
730	307	113
731	308	112
732	308	112
733	308	111
734	309	111
735	309	111
736	309	110
737	310	110
738	310	109
739	310	109
740	311	108
741	311	108
742	312	107
743	312	107
744	312	107
745	313	106
746	313	106
747	314	105
748	314	105
749	314	104
750	315	104
751	315	104
752	315	103
753	316	103
754	316	102
755	316	102
756	317	101
757	317	101
758	318	100
759	318	100
760	318	100
761	319	99
762	319	99
763	319	98
764	320	98
765	320	97
766	321	97
767	321	97
768	321	96
769	322	96
770	322	95
771	323	95
772	324	95
773	324	94
774	325	94
775	325	93
776	325	93
777	326	93
778	326	92
779	326	92
780	327	91
781	327	91
782	328	90
783	328	90
784	328	90
785	329	89
786	329	89
787	329	88
788	330	88
789	330	87
790	330	87
791	331	87
792	331	86
793	332	86
794	332	85
795	332	85
796	333	84
797	333	84
798	333	83
799	334	83
800	334	83
801	334	82
802	335	82
803	335	81
804	336	81
805	336	80
806	336	80
807	337	80
808	337	79
809	337	79
810	338	78
811	338	78
812	338	77
813	339	77
814	339	77
815	340	76
816	340	76
817	340	75
818	341	75
819	341	74
820	341	74
821	342	74
822	342	73
823	342	73
824	343	72
825	343	72
826	344	71
827	344	71
828	344	71
829	345	70
830	345	70
831	345	69
832	346	69
833	346	68
834	346	68
835	347	68
836	347	67
837	348	67
838	348	66
839	348	66
840	349	66
841	349	65
842	349	65
843	350	64
844	350	64
845	350	63
846	351	63
847	351	63
848	352	62
849	352	62
850	353	61
851	354	61
852	354	61
853	355	60
854	355	60
855	356	59
856	356	59
857	357	59
858	357	58
859	357	58
860	358	57
861	358	57
862	359	56
863	359	56
864	359	56
865	360	55
866	360	55
867	361	54
868	361	54
869	361	54
870	362	53
871	362	53
872	363	52
873	363	52
874	363	51
875	364	51
876	364	51
877	365	50
878	365	50
879	365	49
880	366	49
881	366	49
882	366	48
883	367	48
884	367	47
885	367	47
886	368	46
887	368	46
888	369	46
889	369	45
890	369	45
891	370	44
892	370	44
893	370	43
894	371	43
895	371	43
896	371	42
897	372	42
898	372	41
899	372	41
900	373	41
901	373	40
902	374	40
903	374	39
904	374	39
905	375	38
906	375	38
907	375	38
908	376	37
909	376	37
910	376	36
911	377	36
912	377	35
913	378	35
914	378	35
915	378	34
916	379	34
917	379	33
918	379	33
919	380	33
920	380	32
921	380	32
922	381	31
923	381	31
924	382	30
925	382	30
926	382	30
927	383	29
928	383	29
929	383	28
930	384	28
931	384	28
932	385	27
933	385	27
934	386	26
935	386	26
936	387	26
937	387	25
938	387	25
939	388	24
